*Stress RAOs
Unit : MPa

,TB_Fx, , , , ,,TB_Fy, , , , ,,TB_Fz, , , , ,,TB_Mx, , , , ,,TB_My, , , , ,,TB_Mz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
73839,-3.8585E-07,-2.0234E-06,-2.652E-07,-6.4213E-07,-1.9266E-06,-3.0755E-07,-1.5184E-09,-9.4135E-09,-1.8059E-09,-2.3446E-09,-8.9621E-09,-1.9668E-09,-2.0448E-07,-9.8886E-07,-9.2991E-08,-3.488E-07,-9.4161E-07,-1.1581E-07,1.9659E-15,8.527E-15,-4.2405E-15,2.1445E-15,8.3003E-15,-3.9475E-15,-1.224E-11,-6.544E-11,-9.1301E-12,-2.0242E-11,-6.2309E-11,-1.0468E-11,-2.1594E-16,1.095E-14,-8.2701E-15,1.3051E-15,1.1807E-14,-8.1365E-15
73840,-1.3571E-06,-2.3036E-06,-1.5201E-07,-1.5126E-06,-2.3054E-06,-1.3509E-07,-5.356E-09,-1.06E-08,-1.3923E-09,-5.5719E-09,-1.0368E-08,-1.3513E-09,-7.1596E-07,-1.1321E-06,-3.3027E-08,-8.1902E-07,-1.1463E-06,-2.297E-08,4.2997E-15,9.5086E-15,-3.3078E-15,4.4431E-15,9.925E-15,-3.1146E-15,-4.31E-11,-7.4412E-11,-5.5388E-12,-4.7721E-11,-7.4268E-11,-5.0185E-12,-2.9245E-15,1.348E-14,-8.423E-15,-1.9016E-15,1.4698E-14,-8.2856E-15
73841,-2.2153E-06,-2.9308E-06,-1.4063E-08,-2.3995E-06,-3.6585E-06,3.9508E-09,-9.004E-09,-1.314E-08,-1.2383E-09,-9.4235E-09,-1.5652E-08,-1.2077E-09,-1.155E-06,-1.4586E-06,5.9141E-08,-1.2696E-06,-1.8629E-06,7.0874E-08,6.835E-15,1.1228E-14,-2.2805E-15,8.1618E-15,1.4445E-14,-2.4E-15,-7.0563E-11,-9.4397E-11,-1.4503E-12,-7.6148E-11,-1.172E-10,-9.1186E-13,-1.0523E-14,1.5434E-14,-8.7359E-15,-1.0638E-14,1.5558E-14,-8.9706E-15
73846,-4.1462E-07,-2.2153E-06,-2.3694E-07,-1.7506E-07,-2.1332E-06,-2.0495E-07,-1.6069E-09,-1.015E-08,-1.4183E-09,-8.8658E-10,-9.9195E-09,-1.2274E-09,-2.1975E-07,-1.0879E-06,-9.237E-08,-8.1488E-08,-1.0396E-06,-7.9249E-08,1.164E-15,5.4814E-15,-5.2855E-15,6.4808E-16,5.2969E-15,-5.1506E-15,-1.3153E-11,-7.1571E-11,-8.0169E-12,-5.7231E-12,-6.9037E-11,-6.9445E-12,1.4039E-15,5.7659E-15,-1.0675E-14,1.3735E-15,5.7578E-15,-1.0241E-14
73847,-9.4072E-07,-2.3217E-06,-8.4429E-08,-2.9124E-07,-1.9632E-06,-9.0622E-08,-3.3803E-09,-1.0845E-08,-8.6896E-10,-1.0191E-09,-9.5243E-09,-8.3294E-10,-5.1192E-07,-1.1286E-06,-1.014E-08,-1.6068E-07,-9.3554E-07,-1.6799E-08,1.0941E-15,5.6494E-15,-4.8057E-15,9.7663E-16,5.4434E-15,-4.6691E-15,-2.9641E-11,-7.518E-11,-3.2E-12,-9.1437E-12,-6.3856E-11,-3.3456E-12,-8.0723E-17,7.0808E-15,-1.027E-14,7.3172E-16,7.5938E-15,-9.9929E-15
73848,-1.7049E-06,-2.5771E-06,-2.9654E-08,-1.2879E-06,-2.4071E-06,-8.6909E-08,-6.3328E-09,-1.1948E-08,-8.3002E-10,-4.8804E-09,-1.1288E-08,-1.0335E-09,-9.1838E-07,-1.258E-06,2.6765E-08,-6.8937E-07,-1.1686E-06,-4.602E-09,3.4443E-15,6.5148E-15,-3.6069E-15,3.4009E-15,6.7328E-15,-3.4458E-15,-5.3861E-11,-8.3374E-11,-1.581E-12,-4.0752E-11,-7.7972E-11,-3.3819E-12,-2.4855E-15,8.2941E-15,-1.0582E-14,-8.3958E-16,9.3625E-15,-1.0502E-14
73849,-2.2914E-06,-3.1151E-06,-2.872E-08,-2.4972E-06,-3.8228E-06,-5.9035E-08,-8.7855E-09,-1.4075E-08,-9.0946E-10,-9.5387E-09,-1.6591E-08,-1.0974E-09,-1.2213E-06,-1.5402E-06,2.8441E-08,-1.3319E-06,-1.9278E-06,1.6634E-08,5.5559E-15,7.3515E-15,-1.1237E-15,5.4264E-15,9.1633E-15,-1.432E-15,-7.2586E-11,-1.0048E-10,-1.5693E-12,-7.909E-11,-1.2274E-10,-2.5952E-12,-9.4775E-15,9.9909E-15,-1.3359E-14,-6.8367E-15,1.0925E-14,-1.3474E-14
73898,-2.1438E-06,-3.3971E-06,-1.6406E-08,-2.4069E-06,-4.2016E-06,-1.6245E-08,-7.798E-09,-1.5621E-08,-8.1856E-10,-9.1088E-09,-1.9044E-08,-7.5989E-10,-1.1615E-06,-1.6607E-06,3.1496E-08,-1.2852E-06,-2.0698E-06,2.8737E-08,2.5096E-15,3.5928E-15,-4.6472E-16,3.1658E-15,4.6259E-15,-7.7832E-16,-6.7626E-11,-1.0986E-10,-1.126E-12,-7.6207E-11,-1.3565E-10,-1.078E-12,-2.2209E-15,4.2828E-15,-1.5864E-14,-3.5404E-15,4.1766E-15,-1.616E-14
73899,-1.3519E-06,-2.9817E-06,2.2999E-07,-1.5382E-06,-2.7559E-06,1.3199E-07,-4.7744E-09,-1.4099E-08,5.9116E-10,-5.54E-09,-1.282E-08,1.7232E-10,-7.3999E-07,-1.4365E-06,1.4104E-07,-8.3552E-07,-1.3392E-06,9.1368E-08,1.3117E-15,3.03E-15,-3.7556E-15,1.0474E-15,2.889E-15,-3.6135E-15,-4.2533E-11,-9.6752E-11,7.0072E-12,-4.8491E-11,-8.9248E-11,3.8644E-12,-3.4931E-16,3.6843E-15,-1.2045E-14,-5.7719E-16,3.6386E-15,-1.1738E-14
73900,-4.3441E-07,-2.2063E-06,1.8499E-07,-9.3609E-07,-2.5912E-06,2.0109E-07,-1.364E-09,-1.0215E-08,4.3076E-10,-3.6038E-09,-1.2291E-08,5.5123E-10,-2.4754E-07,-1.0751E-06,1.1837E-07,-4.9575E-07,-1.2462E-06,1.2359E-07,9.18E-16,2.6797E-15,-5.206E-15,6.8667E-16,2.6825E-15,-5.0876E-15,-1.352E-11,-7.1407E-11,5.5619E-12,-2.9701E-11,-8.4109E-11,6.1226E-12,2.9635E-16,2.721E-15,-1.1145E-14,3.6182E-16,2.9723E-15,-1.0838E-14
73901,-3.9219E-07,-2.2186E-06,1.4906E-08,-5.4151E-07,-2.035E-06,1.1803E-07,-1.5323E-09,-1.0632E-08,-1.0181E-10,-1.9829E-09,-9.4539E-09,3.104E-10,-2.062E-07,-1.0611E-06,2.2209E-08,-2.9223E-07,-9.897E-07,7.597E-08,-6.9399E-18,2.3519E-15,-5.7065E-15,3.3847E-16,2.3544E-15,-5.6989E-15,-1.2466E-11,-7.2103E-11,2.5721E-13,-1.7099E-11,-6.589E-11,3.5422E-12,1.2232E-16,2.3258E-15,-1.1862E-14,7.961E-16,2.4314E-15,-1.1412E-14
